Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  T         90.00 Comment        
C18        C0603              2351.85mil    2061.85mil    2351.85mil    2061.85mil    2351.85mil   2035.079mil  T         90.00 100nF          
C17        C0603              3231.85mil    2061.85mil    3231.85mil    2061.85mil    3231.85mil   2035.079mil  T         90.00 100nF          
X15        4POL254_NOPOL     2834.646mil   1614.173mil   2834.646mil   1614.173mil   2984.646mil   1614.173mil  T        180.00 MPT4           
C2         C0805             1834.347mil   2406.496mil   1834.646mil   2406.496mil   1872.048mil   2406.496mil  T        180.00 10uF           
R2         R0402             1811.901mil    2911.85mil    1811.85mil    2911.85mil   1792.952mil    2911.85mil  T          0.00 22r            
R1         R0402             1811.901mil    2856.85mil    1811.85mil    2856.85mil   1792.952mil    2856.85mil  T          0.00 22r            
X1         70543-02          3649.606mil   3283.465mil   3649.606mil   3283.465mil   3649.606mil   3233.465mil  T         90.00 C-GRID-02-70543
R62        R0603             3474.413mil   2062.177mil    3474.41mil    2062.18mil   3474.413mil   2088.948mil  T        270.00 100K           
R61        R0603              2582.68mil   2062.177mil   2582.677mil    2062.18mil    2582.68mil   2088.948mil  T        270.00 100K           
R60        R0603             1681.106mil   2062.005mil   1681.102mil   2062.008mil   1681.106mil   2088.776mil  T        270.00 100K           
R59        R0603             2106.302mil   2062.989mil   2106.299mil   2062.992mil   2106.302mil   2089.761mil  T        270.00 100K           
Y1         CRYS320250        2336.704mil   2779.204mil   2336.996mil   2778.842mil   2373.413mil   2733.566mil  T         90.00 7M-16.000MEEQ-T
C54        C3,5-8            5045.276mil   1751.968mil   5045.276mil   1751.968mil   5045.276mil   1821.968mil  T        270.00 100uF          
C53        C3,5-8            4260.827mil    2571.85mil   4260.827mil    2571.85mil   4260.827mil    2501.85mil  T         90.00 100uF          
R58        R0603              4771.65mil   2783.468mil   4771.654mil   2783.465mil    4771.65mil   2756.696mil  T         90.00 1.8K           
LED6       LED2012120        4708.661mil   2799.544mil   4708.661mil   2799.213mil   4708.661mil   2757.875mil  T         90.00 5988110107F    
R57        R0603             4641.729mil   2775.594mil   4641.732mil   2775.591mil   4641.729mil   2748.822mil  T         90.00 100K           
R56        R0603             4582.674mil   2775.594mil   4582.677mil   2775.591mil   4582.674mil   2748.822mil  T         90.00 10r            
R47        R0603             1635.824mil   3189.964mil   1635.827mil   3189.961mil   1635.824mil   3163.192mil  T         90.00 10K            
R46        R0603             2374.013mil   2980.312mil   2374.016mil   2980.315mil   2400.784mil   2980.312mil  T        180.00 10K            
R43        R0603             4755.902mil   3287.398mil   4755.905mil   3287.402mil   4782.674mil   3287.398mil  T        180.00 100K           
R42        R0603             4862.208mil   3287.405mil   4862.205mil   3287.402mil   4835.436mil   3287.405mil  T        360.00 10r            
R40        R0603             4897.635mil   3850.397mil   4897.638mil   3850.394mil   4897.635mil   3823.625mil  T         90.00 1.8K           
LED2       LED2012120        4901.575mil   3728.015mil   4901.575mil   3728.347mil   4901.575mil   3769.684mil  T        270.00 5988110107F    
C56        C0402             3244.244mil   2779.528mil   3244.095mil   2779.528mil   3225.394mil   2779.528mil  T        360.00 100nF          
R36        R0603             3373.028mil   2522.635mil   3373.032mil   2522.638mil     3399.8mil   2522.635mil  T        180.00 4.7K           
R35        R0603             1454.847mil   3081.851mil    1454.85mil   3081.854mil   1481.619mil   3081.851mil  T        180.00 1K             
R33        R0603             1454.847mil   3161.851mil    1454.85mil   3161.854mil   1481.619mil   3161.851mil  T        180.00 1K             
C59        C0402             3244.244mil   2866.142mil   3244.095mil   2866.142mil   3225.394mil   2866.142mil  T        360.00 100nF          
C58        C0402             2252.953mil   2754.771mil   2252.953mil   2754.921mil   2252.953mil   2773.621mil  T        270.00 22pF           
C57        C0402             2326.622mil   2684.055mil   2326.772mil   2684.055mil   2345.472mil   2684.055mil  T        180.00 22pF           
R31        R0603             3397.635mil   2988.192mil   3397.638mil   2988.189mil   3397.635mil   2961.421mil  T         90.00 4.7K           
X28        70543-02          3547.244mil    2657.48mil   3547.244mil    2657.48mil   3547.244mil    2707.48mil  T        270.00 C-GRID-02-70543
X27        70543-02          3547.244mil   2968.504mil   3547.244mil   2968.504mil   3547.244mil   3018.504mil  T        270.00 C-GRID-02-70543
Q5         SOT669            4452.756mil   2885.189mil   4452.756mil   2913.386mil   4377.756mil   2812.992mil  T        360.00 PSMN7R0-60YS,115
Q1         SOT669            4811.024mil   3444.244mil   4811.024mil   3472.441mil   4736.024mil   3372.047mil  T        360.00 PSMN7R0-60YS,115
X23        70543-03          1732.284mil   3779.528mil   1732.284mil   3779.528mil   1832.284mil   3779.528mil  T        180.00 C-GRID-03-70543
X22        70543-03          2145.669mil   3779.528mil   2145.669mil   3779.528mil   2245.669mil   3779.528mil  T        180.00 C-GRID-03-70543
X21        70543-03          2559.055mil   3779.528mil   2559.055mil   3779.528mil   2659.055mil   3779.528mil  T        180.00 C-GRID-03-70543
C46        C0603             3312.008mil   2062.177mil   3312.008mil   2062.177mil   3312.008mil   2088.948mil  T        270.00 220nF          
C44        C0603             3458.661mil   1813.976mil   3458.661mil   1813.976mil   3458.661mil   1840.748mil  T        270.00 100nF          
C43        C0603             3458.661mil   1939.961mil   3458.661mil   1939.961mil   3458.661mil   1913.189mil  T         90.00 100nF          
C42        C0603             3369.095mil   2062.177mil   3369.095mil   2062.177mil   3369.095mil   2088.948mil  T        270.00 100nF          
R20        R1206             3188.976mil   1646.646mil   3188.976mil   1646.653mil   3188.976mil   1702.638mil  T        270.00 0.1r           
R19        R1206             3336.614mil   1646.646mil   3336.614mil   1646.653mil   3336.614mil   1702.638mil  T        270.00 0.1r           
X6         4POL254           3346.457mil   1338.583mil   3346.457mil   1338.583mil   3496.457mil   1338.583mil  T        180.00 MPT4           
C41        C0603             2437.992mil   2062.008mil   2437.992mil   2062.008mil   2437.992mil    2088.78mil  T        270.00 220nF          
C39        C0603             2590.551mil    1842.52mil   2590.551mil    1842.52mil    2563.78mil    1842.52mil  T        360.00 100nF          
C38        C0603             2559.055mil   1939.961mil   2559.055mil   1939.961mil   2559.055mil   1913.189mil  T         90.00 100nF          
C37        C0603             2495.079mil   2062.008mil   2495.079mil   2062.008mil   2495.079mil    2088.78mil  T        270.00 100nF          
R15        R1206             2297.244mil   1646.646mil   2297.244mil   1646.653mil   2297.244mil   1702.638mil  T        270.00 0.1r           
R14        R1206             2445.866mil   1646.646mil   2445.866mil   1646.653mil   2445.866mil   1702.638mil  T        270.00 0.1r           
X14        4POL254_NOPOL     2834.646mil   1338.583mil   2834.646mil   1338.583mil   2984.646mil   1338.583mil  T        180.00 MPT4           
C36        C0603             1996.063mil   2062.992mil   1996.063mil   2062.992mil   1996.063mil   2089.764mil  T        270.00 220nF          
C34        C0603             2106.299mil   1814.961mil   2106.299mil   1814.961mil   2106.299mil   1841.732mil  T        270.00 100nF          
C33        C0603             2125.984mil   1939.961mil   2125.984mil   1939.961mil   2125.984mil   1913.189mil  T         90.00 100nF          
C32        C0603             2051.181mil   2062.992mil   2051.181mil   2062.992mil   2051.181mil   2089.764mil  T        270.00 100nF          
R10        R1206              1861.22mil   1646.646mil    1861.22mil   1646.653mil    1861.22mil   1702.638mil  T        270.00 0.1r           
R8         R1206             2005.906mil   1646.646mil   2005.906mil   1646.653mil   2005.906mil   1702.638mil  T        270.00 0.1r           
X4         4POL254           2322.835mil   1338.583mil   2322.835mil   1338.583mil   2472.835mil   1338.583mil  T        180.00 MPT4           
C31        C0603             1546.266mil   2062.177mil   1546.266mil   2062.177mil   1546.266mil   2088.948mil  T        270.00 220nF          
C29        C0603             1660.433mil   1813.976mil   1660.433mil   1813.976mil   1660.433mil   1840.748mil  T        270.00 100nF          
C28        C0603             1681.102mil   1939.961mil   1681.102mil   1939.961mil   1681.102mil   1913.189mil  T         90.00 100nF          
C27        C0603             1608.909mil   2062.177mil   1608.909mil   2062.177mil   1608.909mil   2088.948mil  T        270.00 100nF          
R7         R1206              1414.37mil   1646.646mil    1414.37mil   1646.654mil    1414.37mil   1702.638mil  T        270.00 0.1r           
R4         R1206             1560.039mil   1646.646mil   1560.039mil   1646.654mil   1560.039mil   1702.638mil  T        270.00 0.1r           
X8         4POL254           1811.024mil   1338.583mil   1811.024mil   1338.583mil   1961.024mil   1338.583mil  T        180.00 MPT4           
Y2         CRYS320250        1851.096mil   2600.608mil   1850.805mil    2600.97mil   1814.388mil   2646.246mil  T        270.00 7M-16.000MEEQ-T
C14        C0402             1968.354mil   2772.638mil   1968.504mil   2772.638mil   1987.204mil   2772.638mil  T        180.00 100nF          
C12        C0402             1836.464mil   2503.937mil   1836.614mil   2503.937mil   1855.314mil   2503.937mil  T        180.00 22pF           
C13        C0402             1768.701mil   2574.653mil   1768.701mil   2574.803mil   1768.701mil   2593.503mil  T        270.00 22pF           
RN5        CAY16             2116.748mil   3115.929mil   2117.126mil   3116.142mil    2164.37mil   3142.716mil  T        180.00 1K             
RV2        R0603             1741.854mil   2936.847mil    1741.85mil    2936.85mil   1741.854mil   2963.619mil  T        270.00 CG0603MLC-05E  
RV1        R0603             1741.847mil   2831.854mil    1741.85mil    2831.85mil   1741.847mil   2805.082mil  T         90.00 CG0603MLC-05E  
X17        2X03              1866.378mil    3214.41mil   1866.378mil    3214.41mil   1766.378mil    3164.41mil  T          0.00 PINHD-2X3      
U1         QFN32_050050      1976.594mil   2907.106mil    1976.85mil    2906.85mil    1907.85mil   2812.362mil  T         90.00 Atmega32u2     
