Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.txt

========================================================================================================================
File Design Information:

Date:       28/07/17
Time:       14:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                Ref-X(mm) Ref-Y(mm) 
R47        10K                                TopLayer R0402                       10.6356      50.6707      90       "RES SMD 10K OHM 1% 1/16W 0402"                                            10.6356   50.6694   
R56        100R                               TopLayer R0402                       78.8619      41.1670      360      "RES SMD 100 OHM 1% 1/16W 0402"                                            78.8606   41.1670   
R57        100K                               TopLayer R0402                       51.0209      46.2216      180      "RES 100K OHM 1% 1/16W 0402"                                               51.0222   46.2216   
LED6       RED                                TopLayer LED2012120                  88.8682      54.3412      270      "LED 0805 Red"                                                             88.8682   54.3496   
R58        1.8K                               TopLayer R0402                       87.5410      53.6841      90       "RES SMD 1.8K OHM 1% 1/16W 0402"                                           87.5410   53.6828   
Y1         7M-16.000MEEQ-T                    TopLayer CRYS320250                  29.6317      40.2870      90       "Crystal 16mHz 10ppm 10pF"                                                 29.6391   40.2778   
R1         22r                                TopLayer R0402                       16.0223      42.7926      0        "RES 0402 22r 62.5mW 1%"                                                   16.0210   42.7926   
R2         22r                                TopLayer R0402                       16.0223      43.8340      0        "RES 0402 22r 62.5mW 1%"                                                   16.0210   43.8340   
C2         10uF                               TopLayer C0805                       15.2514      32.9120      180      "CAP CER 0805 10uF 10V 10% X5R"                                            15.2590   32.9120   
D7         S3A-13-F                           TopLayer DO-214AB                    78.8690      35.3665      90       "DIODE DO-214AB"                                                           78.8690   35.3552   
C26        100nF                              TopLayer C0402                       51.9912      45.1548      360      "CAP CER 0402 100nF 16V 10% X7R"                                           51.9874   45.1548   
C52        100nF                              TopLayer C0402                       43.1482      49.1210      90       "CAP CER 0402 100nF 16V 10% X7R"                                           43.1482   49.1172   
C60        100nF                              TopLayer C0603                       73.9584      8.7312       180      "CAP CER 0603 100nF 50V 10% X7R"                                           73.9584   8.7312    
C62        100nF                              TopLayer C0603                       81.1974      30.3974      360      "CAP CER 0603 100nF 50V 10% X7R"                                           81.1974   30.3974   
R9         1.8K                               TopLayer R0402                       73.2218      35.4507      270      "RES SMD 1.8K OHM 1% 1/16W 0402"                                           73.2218   35.4520   
R16        1.8K                               TopLayer R0402                       70.4278      39.3369      270      "RES SMD 1.8K OHM 1% 1/16W 0402"                                           70.4278   39.3382   
D6         SK310A-TP                          TopLayer SMA-SM                      73.3963      29.9402      180      "DIODE Schottky 3A SMA"                                                    73.3996   29.9402   
D10        SK310A-TP                          TopLayer SMA-SM                      88.5634      49.4761      90       "DIODE Schottky 3A SMA"                                                    88.5634   49.4728   
U10        ADUM7441                           TopLayer QSOP16                      25.6081      34.0179      270      "4ch iCoupler"                                                             25.6000   33.6750   
R72        1M                                 TopLayer R0402                       12.9610      46.8809      270      "RES 0402 1M 100mW 5%"                                                     12.9610   46.8822   
C67        100nF                              TopLayer C0402                       21.5750      31.4288      90       "CAP CER 0402 100nF 16V 10% X7R"                                           21.5750   31.4250   
C68        100nF                              TopLayer C0402                       29.6500      31.5022      90       "CAP CER 0402 100nF 16V 10% X7R"                                           29.6500   31.4984   
C69        100nF                              TopLayer C0402                       29.6250      35.9462      270      "CAP CER 0402 100nF 16V 10% X7R"                                           29.6250   35.9500   
C70        100nF                              TopLayer C0402                       21.5500      35.7962      270      "CAP CER 0402 100nF 16V 10% X7R"                                           21.5500   35.8000   
R34        22r                                TopLayer R0402                       37.5856      50.3859      270      "RES 0402 22r 62.5mW 1%"                                                   37.5856   50.3872   
D13        BAT54                              TopLayer SOD523_IPC                  54.7442      32.5056      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           54.7442   32.5056   
D11        BAT54                              TopLayer SOD523_IPC                  55.7466      37.9920      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           55.7466   37.9920   
R32        2k37                               TopLayer R0402                       55.9739      44.0372      180      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          55.9752   44.0372   
R37        2k37                               TopLayer R0402                       55.3656      36.3931      90       "RES SMD 2.37K OHM 1% 1/16W 0402"                                          55.3656   36.3918   
D8         SMAJ28A                            TopLayer SMA-SM                      72.0175      6.6910       180      "TVS DIODE 28VWM 45.4VC SMA"                                               72.0208   6.6910    
C63        4.7nF                              TopLayer C0402                       11.4370      46.8858      90       "CAP CER 0402 4.7nF 25V 10% X7R"                                           11.4370   46.8820   
D3         1N4148WT                           TopLayer SOD523                      9.5440       54.6544      90       "DIODE SOD523"                                                             9.5440    54.6544   
D4         1N4148WT                           TopLayer SOD523                      11.9106      50.6444      270      "DIODE SOD523"                                                             11.9106   50.6444   
RN1        5.6k                               TopLayer CAY16                       43.4618      25.2808      180      "RES ARRAY 4 RES 5.6K OHM 1206"                                            43.4714   25.2862   
C19        1uF                                TopLayer C0402                       45.8046      23.5862      360      "CAP CER 0402 1uF 6.3V 10% X5R"                                            45.8008   23.5862   
C20        1uF                                TopLayer C0402                       45.5252      19.4362      360      "CAP CER 0402 1uF 6.3V 10% X5R"                                            45.5214   19.4362   
RN2        5.6k                               TopLayer CAY16                       43.4618      21.3308      180      "RES ARRAY 4 RES 5.6K OHM 1206"                                            43.4714   21.3362   
RN3        10K                                TopLayer CAY16                       43.4618      17.7808      180      "RES ARRAY 4 RES 10K 1206 62.5mW 5%"                                       43.4714   17.7862   
C21        1uF                                TopLayer C0402                       43.8220      23.6112      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            43.8258   23.6112   
C22        1uF                                TopLayer C0402                       43.5426      19.4612      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            43.5464   19.4612   
C47        1uF                                TopLayer C0402                       41.9220      23.6112      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            41.9258   23.6112   
C48        1uF                                TopLayer C0402                       41.5676      19.4612      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            41.5714   19.4612   
C4         100nF                              TopLayer C0402                       53.0580      41.1670      360      "CAP CER 0402 100nF 16V 10% X7R"                                           53.0542   41.1670   
D1         BAT54                              TopLayer SOD523_IPC                  55.6958      45.1294      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           55.6958   45.1294   
D5         BAT54                              TopLayer SOD523_IPC                  55.6958      46.2978      360      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           55.6958   46.2978   
R5         4.7K                               TopLayer R0402                       53.9178      29.8881      270      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           53.9178   29.8894   
R6         2k37                               TopLayer R0402                       54.4258      43.5025      270      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          54.4258   43.5038   
LED3       RED                                TopLayer LED2012120                  71.8248      40.0578      90       "LED 0805 Red"                                                             71.8248   40.0494   
R21        100R                               TopLayer R0402                       74.1413      50.8762      180      "RES SMD 100 OHM 1% 1/16W 0402"                                            74.1426   50.8762   
FB2        BLM41PG600SN1L                     TopLayer L1806                       86.1504      21.6852      180      "FERRITE BEAD 1806 60ohm"                                                  86.1504   21.6852   
F2         3557-2                             TopLayer 3557                        78.9356      10.3160      270      "FUSE PTH ATO"                                                             78.9356   10.3160   
F3         3557-2                             TopLayer 3557                        86.4298      36.0362      90       "FUSE PTH ATO"                                                             86.4298   36.0362   
C25        100nF                              TopLayer C0603                       79.5972      56.0514      360      "CAP CER 0603 100nF 50V 10% X7R"                                           79.5972   56.0514   
C30        4.7uF                              TopLayer C1206                       84.8550      57.7786      180      "CAP CER 1206 4.7uF 50V 10% X5R"                                           84.8550   57.7786   
C35        1uF                                TopLayer C0805                       88.1570      58.1520      270      "CAP CER 0805 1uF 50V 10% X7R"                                             88.1570   58.1596   
C40        100nF                              TopLayer C0603                       78.7082      60.0646      90       "CAP CER 0603 100nF 50V 10% X7R"                                           78.7082   60.0646   
C45        10uF                               TopLayer C0805                       79.6048      57.8040      360      "CAP CER 0805 10uF 10V 10% X5R"                                            79.5972   57.8040   
C49        4.7nF                              TopLayer C0402                       86.1974      63.2904      180      "CAP CER 0402 4.7nF 25V 10% X7R"                                           86.2012   63.2904   
D9         SK310A-TP                          TopLayer SMA-SM                      74.5713      65.5510      360      "DIODE Schottky 3A SMA"                                                    74.5680   65.5510   
L1         15uH                               TopLayer XAL50xx_VLS6045             73.8568      60.2170      270      "FIXED IND 15UH 2.5A 98 MOHM SMD"                                          73.8568   60.2170   
R3         200K                               TopLayer R0402                       88.1329      60.6234      360      "RES 0402 200K"                                                            88.1316   60.6234   
